1. What are the categories of financial schemes available?,"Here is the list of schemes available 
1)Educational Schemes
2)Pension-related Schemes
3)Agricultural Schemes
",
2. Get me a list of the domains of financial schemes.,"Here is the list of schemes available 
1)Educational Schemes
2)Pension-related Schemes
3)Agricultural Schemes
",
3. Tell me about the types of financial schemes.,"Here is the list of schemes available 
1)Educational Schemes
2)Pension-related Schemes
3)Agricultural Schemes
",
What are the categories of Educational schemes available?,"1. Post Graduate Indira Gandhi Scholarship For Single Girl Child : 
A scholarship scheme by the University Grants Commission for Girl students who are admitted in the first year of PG courses in any designated university or a postgraduate college, and happen to be the only girl child in the family. 2. Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students :
The objective of the scheme is to provide financial assistance to the Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage to enable them to complete their education.
3. AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma) :
 Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education.
4. Central Sector Scheme Of Scholarship For College And University Students : 
A scholarship scheme by the Department of Higher Education, Ministry of Education to provide financial assistance to meritorious students from poor families to meet a part of their day-to-day expenses while pursuing higher studies. 
5. National Means-Cum-Merit Scholarship Scheme:
A scholarship scheme by the Department of School Education & Literacy, Ministry of Education wherein 1,00,000 scholarships is offered to the gifted or meritorious students whose parental income is not more than ₹3,50,000/- per annum from all sources at the time of selection of awardees for a scholarship. 
",
Tell me about the types of Educational schemes.,"1. Post Graduate Indira Gandhi Scholarship For Single Girl Child : 
A scholarship scheme by the University Grants Commission for Girl students who are admitted in the first year of PG courses in any designated university or a postgraduate college, and happen to be the only girl child in the family. 2. Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students :
The objective of the scheme is to provide financial assistance to the Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage to enable them to complete their education.
3. AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma) :
 Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education.
4. Central Sector Scheme Of Scholarship For College And University Students : 
A scholarship scheme by the Department of Higher Education, Ministry of Education to provide financial assistance to meritorious students from poor families to meet a part of their day-to-day expenses while pursuing higher studies. 
5. National Means-Cum-Merit Scholarship Scheme:
A scholarship scheme by the Department of School Education & Literacy, Ministry of Education wherein 1,00,000 scholarships is offered to the gifted or meritorious students whose parental income is not more than ₹3,50,000/- per annum from all sources at the time of selection of awardees for a scholarship. 
",
What are the categories of Agricultural schemes available?,"1)Farmers Training Institute Scheme: The objective of the scheme is to provide training to farmers at the village level on updated and innovative agriculture technology. The Training Institute facilitates exposure visits for farmers to agriculturally advanced states. 

2)Rs 5 Lakh Insurance Cover To Farmers:
                                        The objective to provide all farmers aged 18 to 60 with Rs 5 lakh insurance coverage starting from 15 August 2018, with the government paying the premiums on behalf of around 50 lakh farmers. The scheme, managed by LIC, ensures that the farmer's family receives Rs 5 lakh within 10 days of the farmer's death, regardless of the cause.
3)Crop Cluster Development Programme:
                                        The Crop Cluster Development Programme (CCDP) in Baagwani Villages is a comprehensive scheme focused on the development of backward and forward integration in horticulture farming.

4)Rajiv Gandhi Kisan Nyay Yojana:
                                The main objective of this scheme is to increase the agricultural area by encouraging the farmers for crop production.
5)AGR 3 (Farm Mechanization) Scheme For ST Farmers:
                                                        The main objective of the scheme is to maximize farmers' attempts to buy and use Plant protection equipment, Tarpaulin, Field Demonstration, Micronutrients, Water carrying pipelines, Agriculture fair, Organic Fertilizer, Pump set, the premium for Farmers 100% Water Soluble Fertilizers, Pesticides, accidental insurance scheme, etc.1)Farmers Training Institute Scheme:",
Tell me about the types of Agricultural schemes.,"1)Farmers Training Institute Scheme: The objective of the scheme is to provide training to farmers at the village level on updated and innovative agriculture technology. The Training Institute facilitates exposure visits for farmers to agriculturally advanced states. 

2)Rs 5 Lakh Insurance Cover To Farmers:
                                        The objective to provide all farmers aged 18 to 60 with Rs 5 lakh insurance coverage starting from 15 August 2018, with the government paying the premiums on behalf of around 50 lakh farmers. The scheme, managed by LIC, ensures that the farmer's family receives Rs 5 lakh within 10 days of the farmer's death, regardless of the cause.
3)Crop Cluster Development Programme:
                                        The Crop Cluster Development Programme (CCDP) in Baagwani Villages is a comprehensive scheme focused on the development of backward and forward integration in horticulture farming.

4)Rajiv Gandhi Kisan Nyay Yojana:
                                The main objective of this scheme is to increase the agricultural area by encouraging the farmers for crop production.
5)AGR 3 (Farm Mechanization) Scheme For ST Farmers:
                                                        The main objective of the scheme is to maximize farmers' attempts to buy and use Plant protection equipment, Tarpaulin, Field Demonstration, Micronutrients, Water carrying pipelines, Agriculture fair, Organic Fertilizer, Pump set, the premium for Farmers 100% Water Soluble Fertilizers, Pesticides, accidental insurance scheme, etc.1)Farmers Training Institute Scheme:",
What are the categories of Pension-related schemes available?,"1)Employees' Provident Fund (EPF):
The EPF scheme is designed to provide financial security and stability to employees post-retirement. Both the employee and employer contribute to the fund, which accumulates over the employee's working life. This scheme ensures a steady income stream after retirement.
2)National Pension System (NPS): The NPS aims to provide a sustainable retirement income to all Indian citizens. It encourages individuals to invest in a pension account during their working life, with the accumulated savings being paid out as a pension after retirement.
3)Atal Pension Yojana (APY): The APY is focused on providing a guaranteed pension to the unorganized sector workers. It ensures that individuals from low-income groups have a steady income after the age of 60.
4)Pradhan Mantri Vaya Vandana Yojana (PMVVY): The PMVVY aims to provide social security to senior citizens by offering a guaranteed pension at a specified rate of return for 10 years. It ensures that senior citizens have a stable income.
5)Public Provident Fund (PPF): The PPF scheme aims to provide a long-term savings option for individuals, combining tax savings with an attractive rate of interest. It is a risk-free investment option for securing retirement savings.
",
Tell me about the types of Pension-related schemes.,"1)Employees' Provident Fund (EPF):
The EPF scheme is designed to provide financial security and stability to employees post-retirement. Both the employee and employer contribute to the fund, which accumulates over the employee's working life. This scheme ensures a steady income stream after retirement.
2)National Pension System (NPS): The NPS aims to provide a sustainable retirement income to all Indian citizens. It encourages individuals to invest in a pension account during their working life, with the accumulated savings being paid out as a pension after retirement.
3)Atal Pension Yojana (APY): The APY is focused on providing a guaranteed pension to the unorganized sector workers. It ensures that individuals from low-income groups have a steady income after the age of 60.
4)Pradhan Mantri Vaya Vandana Yojana (PMVVY): The PMVVY aims to provide social security to senior citizens by offering a guaranteed pension at a specified rate of return for 10 years. It ensures that senior citizens have a stable income.
5)Public Provident Fund (PPF): The PPF scheme aims to provide a long-term savings option for individuals, combining tax savings with an attractive rate of interest. It is a risk-free investment option for securing retirement savings.
",
Tell me about the Post Graduate Indira Gandhi Scholarship For Single Girl Child scheme,,"Post Graduate Indira Gandhi Scholarship For Single Girl Child :

A scholarship scheme by the University Grants Commission for Girl students who are admitted in the first year of PG courses in any designated university or a postgraduate college, and happen to be the only girl child in the family.

he amount of fellowship is ₹ 36,200/- p.a. for the full duration of a PG course. The scheme has been introduced with an aim to compensate direct costs of girl education at all levels, especially for such girls who happen to be the only girl child in their families. 


The objectives of the proposed scheme are:
a) To support the postgraduate education of single girl children in postgraduate courses only.
b) To recognize the value of observance of the small family norms. 


The candidates are required to apply online on National Scholarship Portal after initiation of the application process and notice to be published on the UGC website. 3,000 fresh scholarships will be awarded every year and will be paid on DBT mode on annual basis.

ELIGIBILITY : 

1. The applicant must be a citizen of India.
2. The applicant must be the only girl child in the family.
3. Girl students without having any brothers or the girl student who are twin daughters/ fraternal daughters may also apply
4. The age of the applicant should not be more than 30 years at the time of admission in the first year of PG
course.
5. The applicant must have taken admission to regular, full-time first-year Master's Degree courses in any designated university or a post-graduate college. 
6. The candidate should be pursuing a non-professional course and be taking regular classes from a recognized institution.
7. The applicant must not be [ursuing education through Distance education mode."
